"album_id";"lastfm"
"1";"eb1acde0-35b3-4acc-bd36-b5a7037b7f38"
"2";"02f37f64-13f1-44ca-bf64-ef498693c89c"
"3";"221b18a8-b409-4e24-8280-0cdff63a9aba"
"4";"180c6a4f-a411-4ccc-9452-e455aaf241ea"
"6";"2c2f4f6a-a8be-476d-8978-8c0ec5c11e77"
"7";"614c4513-4ac2-4bff-be50-1a35b57ac4c6"
"8";"4bae8c82-48e7-40e2-ad58-040921b56c5d"
"9";"4d9cd7d9-9052-4abb-946c-5491d836d08d"
"10";"2cfdc7bc-aa52-4592-8601-563189d266d8"
"11";"a3584b83-aac2-43ae-a706-4d2f712e236a"
"12";"6014665f-4ce5-41ae-ae3d-e625bdc18f0c"
"13";"0b0c0ce5-2266-43dd-b6bb-b2b4b39be70f"
"14";"68c743b9-031f-4784-bc19-35575d3d3cab"
"15";"b6983ed4-fdc3-48e1-ae61-a5e94a6fd799"
"16";"2f535afb-7588-475c-b8fb-07294acccaa2"
"17";"ff15d5f2-13a9-4f05-8d45-a171e445a411"
"18";"c6558d82-036b-40e2-a6e1-a47e1d2d5574"
"19";"692828bd-a266-4181-a2ca-eaf405f0bae9"
"20";"1b95ef05-1893-4c87-96a5-11a4ce4afbf4"
"21";"2108ed4d-a46a-40b1-bf4e-00fe3e1396b6"
"22";"9767a085-f441-4ac0-8d0a-8f21b746e11c"
"23";"bc36748f-0d71-4868-bad4-14d7e8590d41"
"24";"9995defc-83f0-4986-8034-37a351c9d8f5"
"25";"f7364155-0fe7-4151-93fc-7859824e92d7"
"26";"bbd931f0-f3ad-4550-b1cd-862e4b70cc03"
"27";"d8dc9be8-e8d6-4d07-b941-e743562a9227"
"28";"33c5a1ae-745a-4bce-856e-d77f7ad1f42a"
"29";"2d3c0c9e-aa6c-4601-8e7a-bab74bdd95c4"
"30";"47e74a7e-7066-41c5-b1c5-5cd6da79eec0"
"31";"b11f69e0-5b8a-4960-8b2f-7b5bb9b8d38d"
"32";"0d529701-f09a-431e-b088-97b4df737e37"
"33";"ec5450e3-c4b3-422f-b4a0-3df8bdd85401"
"34";"41b89bbd-15a9-45cd-8427-b5a4e5f23538"
"35";"11bdf643-05bf-4ff5-a158-869799330e35"
"36";"2bc73492-2383-4fc6-b5d6-abb97f47d9c3"
"37";"e4885005-c02d-4ab5-9ac5-6234f486a46f"
"38";"6b366d48-1ffe-46d0-a641-79a77e0ee7a5"
"39";"b0ea48e1-5b5f-4b7b-8e3e-c6d7fb2abe43"
"40";"18c51def-54d8-4897-af01-af9dbc08acb1"
"41";"26faf078-382a-376f-b707-398949a0e56b"
"42";"24bb9442-717c-4932-95df-35fd499e5982"
"43";"a007851a-4f80-4990-9378-5ba57f692acb"
"44";"f62ec96b-13cd-4147-ab57-7a9231849c53"
"45";"48a36cde-f6a9-4ef5-ae36-8236f910cf7c"
"46";"90ae0bbf-6180-4efe-8e04-405bedbe4bce"
"47";"44071ee8-d80e-4149-83d3-3f1d54189a1f"
"48";"25184881-4fc1-4df3-8fdf-bccf0e5e6130"
"49";"1d2479b8-43af-41b1-a1ed-bb3fca2dfcaa"
"50";"0ed8c55b-1c54-475e-8dba-4311b5e87a97"
"51";"86cb5b3a-c988-41b5-8ece-3502d60b2108"
"52";"3bb357d9-7a08-46a2-b4b4-38beb6644606"
"53";"a31c02ee-5f62-4b9d-b576-2b02c5e4d750"
"54";"5dacb6f1-b2b2-46b0-b6b0-5b4d5266cec3"
"55";"6465de7a-cc4d-441c-b0f6-e2c2532a54d5"
"56";"0d95b8a6-da0f-4a71-8507-f7e5c6e19a5a"
"57";"6175eb9b-684f-4a75-bfd8-3adc95623123"
"58";"009a9e97-0097-3fa8-ac85-3d67d6d5e06e"
"59";"13cc1450-f3b8-4f91-aac7-7cc95ef64b1d"
"60";"635a5269-8ef5-4190-89c6-358704cc61bb"
"61";"694b0bf3-f5c6-4161-ac75-ca30b734c475"
"62";"7c311912-56ae-4c8f-bb70-51aad759b43e"
"63";"51d34f71-9543-48ea-8782-8dea178349bb"
"64";"4fee2897-140f-4fa2-b69e-48b9bcd95921"
"65";"c0f1a1b6-ec3b-4a68-a7da-9a47065389c8"
"66";"d963025f-3f7f-48dd-a403-18b6446113cb"
"67";"3115c325-e4e3-490b-89de-0ff92dfa2ce4"
"68";"b582bab6-5a57-41c7-a611-1e1b67e86324"
"69";"5efe42ee-0020-4d78-b795-8406588e1f80"
"70";"c7995a29-fc9b-416c-86cd-6c56202a5d98"
"71";"7fbc67f2-3fb7-4f59-b762-634d949535ca"
"72";"bae5495f-4946-4a90-bd37-957100353aa9"
"73";"96c9888f-63aa-4f2c-83c3-7c40069f9f29"
"74";"e6f60da3-1d37-4aba-a309-6e65b84ffe66"
"75";"42e992fe-52c3-45f9-98c6-af4e391dbd17"
"76";"257b49d8-fa41-4cc6-bc42-530829f4b218"
"77";"11628a0e-99ad-433b-9259-6de49e72ca24"
"78";"b66990b3-ad8b-4c8a-a64c-1f18a70aa928"
"79";"254ebb7c-6ece-4233-b5a1-5146dbf289a2"
"80";"4932d0f2-35c9-4142-a7fc-8c21aead9bfa"
"81";"69e2100c-4bde-45b9-bb79-fbea21071ac3"
"82";"35eb0866-4995-48ff-9dff-dc5d0a192474"
"83";"337b5c1f-8fcf-4203-b1f1-f0753bd9e411"
"84";"63ae0cbf-eadc-406d-9b9b-f08c22bcf2a4"
"85";"2f1e8de6-f724-4021-af9f-fa683228d044"
"86";"907f6f07-33c7-463b-80e7-42fa7dc3dd59"
"87";"9d58d410-abd3-46da-8859-1a5a757fd721"
"88";"29536b42-b4ee-4478-8699-c7a9296d233a"
"89";"53967218-4f1d-4418-b60f-29ee6ec6199d"
"90";"a59ed9d2-793f-436a-97fc-9df2fc23218a"
"91";"7885d887-36fd-4258-94d3-e59312e9015d"
"92";"590e2dee-cad6-4c65-8df6-17b6be4d63c3"
"93";"82ecec98-114b-47e7-9ddc-5f2dea821561"
"94";"7434ac12-9cf5-4939-a341-76fa90952c82"
"95";"e66cd656-1640-42fb-96ea-7d3c2430c86b"
"96";"2a7efb0f-cce9-41e8-bf09-78ebef089e20"
"97";"5ab19a94-4d11-4f1a-b315-229c041e8746"
"98";"87a6aae8-85d0-4990-979d-bed5f9132b4e"
"99";"50b1a2f8-c43f-479c-8bea-db328da315bd"
"100";"44c22b01-d045-4759-b0f9-e0c30b3ab124"
"101";"1702350e-ff5b-4dc2-9a26-39a850b66c8c"
"102";"4d2183e5-42a2-4b1e-8014-407cf8553274"
"103";"68c223b1-9529-4b4c-b116-98629047ca56"
"104";"0afb50c6-26e4-4d7d-aefc-db90a15c7298"
"105";"651cf52c-e162-438e-bac4-f0be3109dcc7"
"106";"81f18a9a-091f-44b0-bf39-35e2f8f88d8e"
"107";"64faf9c1-193d-4df7-b07c-6280a516e89a"
"108";"953626fc-48d1-461c-801c-446b96efa872"
