"artist_id";"echonest";"lastfm";"spotify";"sevendigital";"apple"
"57";"ARZ9S861187B9B5B0A";"a2eec222-7e07-4dd5-a0e3-f1484b79954a";"3grHWM9bx2E9vwJCdlRv9O";"2188";"205322"
"58";;;"3grHWM9bx2E9vwJCdlRv9O";;
"59";"ARRVRFP126FE025327";"0ab49580-c84f-44d4-875f-d83760ea2cfe";"53XhwfbYqKCa1cC15pYq2q";"1184808";"358714030"
"60";"ARYUDWF12F2B89BB33";"272989c8-5535-492d-a25c-9f58803e027f";"1Xyo4u8uXC1ZmMpatF05PJ";"1420335";"479756766"
"61";"ARNPFHG13544FB4F3E";"0d4ae9d7-9b4f-461c-8d3b-ab77a5808510";"6x2LnllRG5uGarZMsD4iO8";"1230854";"502541718"
"62";"ARSOSSS11C8A415813";"1415b94a-ae0d-4918-9100-1943e8227f1b";"5Zq7R5qmi58ByYyBQTlNuk";;"216359623"
"63";"ARH6BN71187B990C51";"f45da029-7b00-4bf3-962c-0eeb20309cc4";"3FfvYsEGaIb52QPXhg4DcH";"352227";"63684710"
"64";"ARTQRCL137562282B2";"ad590765-191c-4c07-9d64-49633488e9a8";"5dMnvpYEfXvSexjwnSRH5n";"1281090";"499357339"
"65";;"6958e806-1e14-4844-a0a7-07a27756aa0f";"6DIS6PRrLS3wbnZsf7vYic";;"451783136"
"66";"ARG8E041187B98B941";"2ad66473-ccb3-41d2-8756-b56680cdfe62";"4BYxqVkZyFjtik7crYLg5Q";"154160";"4779205"
"67";"ARPJLBR12B3B352F38";"28955336-2348-488a-9381-e3a7b0107343";"0qSX3s5pJnAlSsgsCne8Cz";"795838";"351352781"
"68";"AR0IVTI1187B9B47ED";"3ae70f76-ea53-4cc5-906e-d47a384202a1";"2kucQ9jQwuD8jWdtR9Ef38";;"214150835"
"69";;;"45BhbvDp4jW6apTPOKCNp5";;
"70";"ARJ9VFP11C8A41530F";"3c418647-3aa0-4f0b-b043-306f47855f52";"56x8mYvS3cyDGAi8N2FxbB";"267706";"119942055"
"71";"ARFIDHF12496DAB7E1";;"6l3HvQ5sa6mXTsMTB19rO5";;"73705833"
"72";"AR3ETJY1187B98ED15";"f45da029-7b00-4bf3-962c-0eeb20309cc4";"7FY5V3XMwlNBPitEjXowHQ";"180189";"27060348"
"73";;;"7FY5V3XMwlNBPitEjXowHQ";;
"74";;;"7FY5V3XMwlNBPitEjXowHQ";;
"75";"AR95IYB1187FB3FE0B";"0c75ddc6-2b5d-4b01-8c99-3d9479a14683";"0u2FHSq3ln94y5Q57xazwf";"994";"549836"
"76";;;"0u2FHSq3ln94y5Q57xazwf";;
"77";;"76e78b58-f301-4975-8058-7f84d8360738";"4TshyQDihSYXSWqvclXl3I";;"534717222"
"78";;"0b323c4b-1258-4775-a8e2-ee71f4bf9a45";"4TshyQDihSYXSWqvclXl3I";;"655714856"
"79";;;"5PP8syQrThERevdtvBZX60";;
"80";"ARALXIT13DE4D3652F";"76e78b58-f301-4975-8058-7f84d8360738";"1mfDfLsMxYcOOZkzBxvSVW";"2057678";"354625084"
"81";"ARQRQSQ14A21B2510C";"c05c0521-f887-4a2c-94cf-8a3e04585b15";"3Uobr6LgQpBbk6k4QGAb3V";"2531591";"948448824"
"82";;"e34e41f2-f480-45d3-8190-a3ce5ab34fab";"19Fi1Rj7kk8kyiwxpXy3yM";;"561508848"
"83";"ARULIWN146FDC56B5C";"6bd7faa9-601f-44db-a2a6-239209f83156";"7io3MyhMxDZoBYXp4rlRFA";;"776091221"
"84";;"b2029169-2574-4305-820f-252a5fde3697";"6VxCmtR7S3yz4vnzsJqhSV";"1410992";"1190949"
"85";"ARGHYWC1187B9B06E4";"bca8bfc0-9d5b-449b-b713-914596f88d56";"1n2pb9Tsfe4SwAjmUac6YT";"178873";"128412737"
"86";;;"6JL8zeS1NmiOftqZTRgdTz";;
"87";"ARQDJCJ12B3B352387";"6cfd7ffc-824f-4219-8e27-4b9417700f44";"3vHV92ecrylnUHDM4d2MtC";"804329";"389270799"
"88";;;"3vHV92ecrylnUHDM4d2MtC";;
"89";"ARV9LSS1187B98C471";"ab5d785b-ff87-48b5-b9e1-027e3c21ec0d";"1UTPBmNbXNTittyMJrNkvw";"3956";"189204"
"91";;"6de0f914-3e60-4418-be3b-42e0feb6eb4d";"07YZf4WDAMNwqr4jfgOZ8y";"347171";"259118085"
"92";"ARDYVEQ122BCFCC19E";"2e41ae9c-afd2-4f20-8f1e-17281ce9b472";"0hCNtLu0JehylgoiP8L4Gh";"660559";"278464538"
"93";;;"0hCNtLu0JehylgoiP8L4Gh";;
"94";"ARQ2I6K1187FB59949";"bfd5aec5-62a2-4560-a316-7c46c17babda";"6aZyMrc4doVtZyKNilOmwu";"87897";"251316699"
"95";"ARPPLQX146B59A9035";"b69b9854-f568-4a50-b076-309c459946a8";"7n2wHs1TKAczGzO7Dd2rGr";"2314481";"890403665"
"96";;"7445bc31-8998-4cc1-bba2-b86c15b7c872";"0awl5piYwO0CDTHEkCjUhn";"2135169";"793640807"
"97";;;"0awl5piYwO0CDTHEkCjUhn";;
"98";"ARUXAKW13D610B0A9B";"1bb1eec6-88c3-4028-8920-a985c4b9081a";"163tK9Wjr9P9DmM0AVK7lm";"1509504";"602767352"
"99";;;"4utLUGcTvOJFr6aqIJtYWV";;
"100";"AROHQCR13244CF7152";;"66CXWjxzNUsdJxJ2JdwvnR";"1173256";"412778295"
"101";"ARLXJMY13385835016";"1a425bbd-cca4-4b2c-aeb7-71cb176c828a";"26AHtbjWKiwYzsoGoUZq53";"1120155";"466047278"
"102";"ARWWTYW11F4C842642";"79239441-bfd5-4981-a70c-55c3f15c1287";"2gsggkzM5R49q6jpPvazou";"341566";"405360400"
"103";;;"2gsggkzM5R49q6jpPvazou";;
"104";"ARMWDYO11F50C49B36";"05f3353e-e2d9-4344-a3c9-8009dd8e0427";"25uiPmTg16RbhZWAqwLBy5";"280814";"432942256"
"106";"ARMOWSI13997899FD6";"db8fad3a-e131-47a1-8782-c2ee93708cdd";"4obzFoKoKRHIphyHzJ35G3";"1887887";"550411604"
"108";;"bf99b23e-8fe9-4470-bc6e-1a2bdea53d39";"0du5cEVh5yTK9QJze8zA0C";;"811256310"
"109";"ARXQJTP12AA0D8C2D9";;"0TnOYISbd1XYRBk9myaseg";;"377899621"
"110";"ARKSZW81187B9B695D";"1de93a63-3a9f-443a-ba8a-a43b5fe0121e";"4iHNK0tOyZPYnBU7nGAgpQ";"5732";"91853"
"111";;;"6l3HvQ5sa6mXTsMTB19rO5";;"259811324"
"112";;;"0T7J61YgErxSH8yuyggHJO";;
"113";;;"50co4Is1HCEo8bhOyUWKpn";;
"114";;;"4utLUGcTvOJFr6aqIJtYWV";;"259811324"
"115";;;"0ZrpamOxcZybMHGg1AYtHP";;"939443640"
"116";;;"5DYAABs8rkY9VhwtENoQCz";;"811256310"
"117";"ARAPZXW147FDEA616D";"bca8bfc0-9d5b-449b-b713-914596f88d56";"34bhyY8jfKez7uKakMfy4y";"2334035";"895526551"
"118";;;"34bhyY8jfKez7uKakMfy4y";;
"119";;;"66CXWjxzNUsdJxJ2JdwvnR";;
"120";"ARXDZWY137E74B02FB";"216a7b44-3846-494c-93f5-f2d4d9b95b36";"1PbBg2aYjWLKRk84zJK15x";"1307428";"529352559"
"121";;;"1PbBg2aYjWLKRk84zJK15x";;
"122";;"cc7491b9-287f-4472-ab41-8d71b04a65cd";;;"81654323"
"123";"ARODZUF11F4C841E1F";"396a9525-0994-4542-b480-c4587feeb476";"6gpund5eKRC3ApuyjLA9Nm";"342562";"271256"
"124";"ARLKCMN1187FB599FB";"0fa06365-1a08-4ea8-b522-01b24f26eac1";"0oBEeN6BCxEgMogzThqrPf";"1272";"5132862"
"125";"ARLNMV01187FB3ECA8";"70f0e309-5418-49b6-a130-666e2f76eecd";"3CygdxquGHurS7f9LjNLkv";"43974";"513770"
"126";"ARICQIX12EC561DC0A";"0b88f9de-7c37-4800-9d6a-04ce6c20b76c";"6ZV6lGY0prbqpTD0Md8i29";"980755";"425025684"
"127";"AREJQVO12C1DF51FFE";"37547347-ea75-45fa-9766-ff36b44d8147";"2YZyLoL8N0Wb9xBt1NhZWg";"822668";"368183298"
"128";;;"2YZyLoL8N0Wb9xBt1NhZWg";;"919792582"
"129";;;"163tK9Wjr9P9DmM0AVK7lm";;
"130";;;"2qxJFvFYMEDqd7ui6kSAcq";;
"131";;;"5Zq7R5qmi58ByYyBQTlNuk";;
"132";;;"5WUlDfRSoLAfcVSX1WnrxN";;
"133";"AR0IVTL1187B9AD520";"0103c1cc-4a09-4a5d-a344-56ad99a77193";"6jJ0s89eD6GaHleKKya26X";"132789";"64387566"
"134";"ARVBRGZ1187FB4675A";"fd1baeb3-0ee9-4838-b4c7-615c78d68d10";"4yiQZ8tQPux8cPriYMWUFP";"1059";"108717"
"135";"ARHDI7O1187B9B6850";"633144f8-918d-48ae-86c2-10e3d588628f";"5y2Xq6xcjJb2jVM54GHK3t";"8368";"16586443"
"136";;;"5y2Xq6xcjJb2jVM54GHK3t";;
"137";"ARLIWDY1456895A560";"2e41ae9c-afd2-4f20-8f1e-17281ce9b472";"2RdwBSPQiwcmiDo9kixcl8";"1389406";"14934728"
"138";"ARSTIKL149B96A0061";"d570bb31-b9ca-45a4-a2d9-11b186d9c159";"2RdwBSPQiwcmiDo9kixcl8";"2503641";"940786973"
"139";"ARREVIM129CDBEF323";"f24df11a-7e35-4979-a4db-a3b2a170ce27";"0dvKgSdNB2U1gfp6ZcekYi";"603905";"368389689"
"140";;;"0dvKgSdNB2U1gfp6ZcekYi";;
"141";"AREXQVQ13B20C75202";"d6e65033-b56a-49df-8744-6fc3ffd75edd";"5Rl15oVamLq7FbSb0NNBNy";"1441691";"538811449"
"142";;;"4AK6F7OLvEQ5QYCBNiQWHq";;
"143";"AROIOHO13C1C2A5473";"25b7b584-d952-4662-a8b9-dd8cdfbfeb64";"6oMuImdp5ZcFhWP0ESe6mG";"2030644";"569925101"
"144";"ARKMQ0K11C8A4224DF";"144ef525-85e9-40c3-8335-02c32d0861f3";"3AQRLZ9PuTAozP28Skbq8V";"179216";"277228393"
"145";;;"3AQRLZ9PuTAozP28Skbq8V";;
"146";;"1a425bbd-cca4-4b2c-aeb7-71cb176c828a";"5Z2NUZiY3FA00HKu5WTMhA";;"585476896"
"147";"ARXPPEY1187FB51DF4";"b95ce3ff-3d05-4e87-9e01-c97b66af13d4";"3fMbdgg4jU18AjLCKBhRSm";"88";"32940"
"148";;;"3fMbdgg4jU18AjLCKBhRSm";;
"149";;;"2wY79sveU1sp5g7SokKOiI";;
"150";"ARKLKMU1187FB4EF65";"52074ba6-e495-4ef3-9bb4-0703888a9f68";"3hozsZ9hqNq7CoBGYNlFTz";;"564656"
"151";"ARJ7KF01187B98D717";"ada7a83c-e3e1-40f1-93f9-3e73dbc9298a";"4gzpq5DPGxSnKTe4SA8HAU";"20";"471744"
"152";;;"4gzpq5DPGxSnKTe4SA8HAU";;
"153";;"dacc2d64-7e59-42a8-87a9-10c53919aff2";"4zxvC7CRGvggq9EWXOpwAo";"1113663";"301580396"
"154";;;"4zxvC7CRGvggq9EWXOpwAo";;
"155";;;"6oMuImdp5ZcFhWP0ESe6mG";;
"156";;;"0nvvVQhPQGkYTJlThLbJeu";;
"157";;;"5IcR3N7QB1j6KBL8eImZ8m";;
"158";;;"5yG7ZAZafVaAlMTeBybKAL";;
"159";"ARNUDUD12AA0D91789";"48a6d065-1fda-4280-ae39-df1394d419cd";"6pBNfggcZZDCmb0p92OnGn";;"412047193"
"160";"ARYVZHB1271F573F3F";;"73sIBHcqh3Z3NyqHKZ7FOL";"1113197";"466842536"
"161";;;"73sIBHcqh3Z3NyqHKZ7FOL";;
"162";;;"07d5etnpjriczFBB8pxmRe";;
"163";;;"59hLmB5DrdihCYtNeFeW1U";;"70412"
"164";"ARWLAEE122BCFCA245";"56c4b861-0922-4c3a-a9b9-3bfcb00f8274";"1vCWHaC5f2uS3yhpwWbIA6";"518500";"298496035"
"165";;;"3CygdxquGHurS7f9LjNLkv";;
"166";;;"1vCWHaC5f2uS3yhpwWbIA6";;
"167";"AR51XUU1187B993A0A";"8efb78e6-9401-4f54-902b-57e9c3b54e64";"6Ha4aES39QiVjR0L2lwuwq";"25571";"62763238"
"168";"ARRJNVQ122ECCBA586";"0fa06365-1a08-4ea8-b522-01b24f26eac1";"3GBPw9NK25X1Wt2OUvOwY3";;"313916816"
"169";;;"5Pwc4xIPtQLFEnJriah9YJ";;
"170";"ARFJXKQ119B86694AF";"365247e5-db90-4d0e-bf2c-ca18b54fcab9";"32WkQRZEVKSzVAAYqukAEA";"108305";"215542909"
"171";;;"3b8QkneNDz4JHKKKlLgYZg";;
"172";;;"3KV3p5EY4AvKxOlhGHORLg";;
"173";;;"0nvvVQhPQGkYTJlThLbJeu";;"922318580"
"174";;;"0nvvVQhPQGkYTJlThLbJeu";;
"175";;;"0nvvVQhPQGkYTJlThLbJeu";;
"176";"AR3FYKL1187FB44945";"64f8c7a9-1074-4ab7-bb2c-8397884cd38a";"7x8nK0m0cP2ksQf0mjWdPS";"8410";"3088872"
"177";"ARICCZI1187B9AEBB3";"a10f94a9-2a3c-4166-b9fa-a7bed0bf7d96";"3FUY2gzHeIiaesXtOAdB7A";"52118";"469476"
"178";;;"3FUY2gzHeIiaesXtOAdB7A";;
"179";;"f181961b-20f7-459e-89de-920ef03c7ed0";"3XHO7cRUPCLOr6jwp8vsx5";"1221028";"494311026"
"180";;;"5q8HGNo0BjLWaTAhRtbwxa";;
"181";;;"7bXgB6jMjp9ATFy66eO08Z";;
"182";"ARIPKYW13544FB4F05";"d211333a-22eb-4be7-a2ac-ca12c73646db";"1dID9zgn0OV0Y8ud7Mh2tS";;"493220807"
"183";;;"5LHRHt1k9lMyONurDHEdrp";;
"184";"ARNRA801187FB5587A";"6ac6645e-5ba7-4ada-8ea5-e59e9e9ebeb8";"6eKWqnckwdIlSnjaYgIyxv";"269397";"58049974"
"185";"ARXOTQH1187FB57084";"3e518707-b079-4334-bb6e-bfde317ce4d3";"7bXgB6jMjp9ATFy66eO08Z";"15239";"95705522"
"186";"ARL60FF1187B9AE52D";"46f03b9b-11f8-44ae-a8cd-36259b45e5b0";"2iojnBLj0qIMiKPvVhLnsH";"12019";"31733124"
"187";"ARJRB241187FB556A3";"d7baf435-0df0-4227-9b8f-aa1d8681988b";"7CajNmpbOovFoOoasH2HaY";"49225";"201955086"
"188";"ARBJMMW136E570FA06";"3ba45541-87be-4631-896b-d148b7f70f00";"5yG7ZAZafVaAlMTeBybKAL";"1420370";"503970811"
"189";;"eb90c8b8-d733-4c14-a293-105c3d1ba9b3";"5yG7ZAZafVaAlMTeBybKAL";;"32940"
"190";;;"3fMbdgg4jU18AjLCKBhRSm";;
"191";"ARPDVPJ1187B9ADBE9";"1f381ad5-0213-4184-9ffd-82f89edfd487";"23zg3TcAtWQy7J6upgbUnj";"3117";"15885"
"192";;"3e1f2ee4-16be-4406-bf18-6173840cf2b1";"23zg3TcAtWQy7J6upgbUnj";;"125742557"
"193";"ARCLPC51187FB52F2D";"2294c553-58e4-425b-8bab-bee01f2d477a";"4aJTB79uwT4sP0Nb8QGWHc";"16507";"330697"
"194";;;"04gDigrS5kc9YWfZHwBETP";;
"195";"ARLXLHI134198E77C6";"79239441-bfd5-4981-a70c-55c3f15c1287";"5CCwRZC6euC8Odo6y9X8jr";;"355898104"
"196";;;"3TOqt5oJwL9BE2NG9MEwDa";;
"197";"ARN0GFV1187FB508CC";"b95ce3ff-3d05-4e87-9e01-c97b66af13d4";"137W8MRPWKqSmrBGDBFSop";"91677";"201714418"
"198";"AR4DW2Q1187FB44DB6";"ab5d785b-ff87-48b5-b9e1-027e3c21ec0d";"1By9QBFnjZAoI83BZppHlt";"1064";"203875"
"199";;;"3nFkdlSjzX9mRTtwJOzDYB";;
"200";;"aa25521e-3848-4ff7-ab09-545cc95b8a36";"58R5LHkK3vkmEyGUPOR5kS";;"211196318"
"201";"ARLGTWP1187FB3E9DD";"22c5cef9-80e8-48d2-acd3-6d16f6c8a16d";"2vm8GdHyrJh2O2MfbQFYG0";"106094";"157692029"
"202";;;"6eUKZXaKkcviH0Ku9w2n3V";;
"203";;;"17lzZA2AlOHwCwFALHttmp";;
"204";"AR6PJ8R1187FB5AD70";"7e9bd05a-117f-4cce-87bc-e011527a8b18";"0EmeFodog0BfCgMzAIvKQp";"21239";"889327"
"205";;"5a85c140-dcf9-4dd2-b2c8-aff0471549f3";"2l35CQqtYRh3d8ZIiBep4v";"1455531";"582221677"
"206";"ARZT6MQ1187FB56487";"1695c115-bf3f-4014-9966-2b0c50179193";"7EQ0qTo7fWT7DPxmxtSYEc";"972893";"420203509"
"207";;;"7EQ0qTo7fWT7DPxmxtSYEc";;
"208";;"53fa616a-e2b4-4982-bef8-6362b44054f0";"6s22t5Y3prQHyaHWUN1R1C";;"359553651"
"209";;;"6s22t5Y3prQHyaHWUN1R1C";;
"210";"AR4OU721187FB4549D";"012151a8-0f9a-44c9-997f-ebd68b5389f9";"74XFHRwlV6OrjEM0A2NCMF";"22858";"75950796"
"211";"ARVSBMZ141E66AF00B";"19fccfa3-84ad-42b2-b52d-d5d9a5a6046e";"0kkxsdcaWmWU2yWAqclDh4";"2193622";"727851055"
"212";;;"1INuLZXjjVbcJRyWvD1iSq";"2324387";"944171951"
"213";"ARSBOPG13264193F60";"0fa06365-1a08-4ea8-b522-01b24f26eac1";"4TONBKcqVR1LmPdfJxvkMU";;"337286805"
"214";;;"4TONBKcqVR1LmPdfJxvkMU";;
"215";;;"2iojnBLj0qIMiKPvVhLnsH";;
"216";"ARWS1TU1187B9B2560";"0103c1cc-4a09-4a5d-a344-56ad99a77193";"2S9W9aSAd7e5mp8WqWxN2h";"15514";"3296003"
"217";"ARWK5QH1187B9A9B7F";"b8a7c51f-362c-4dcb-a259-bc6e0095f0a6";"31TPClRtHm23RisEBtV3X7";"3501";"398128"
"218";;;"0BvkDsjIUla7X0k6CSWh1I";;
"219";"AR7WFGC1187B9B1CD4";;"1bDWGdIC2hardyt55nlQgG";"39962";"1855044"
"220";"ARPFLJR12FC14E461E";"aa25521e-3848-4ff7-ab09-545cc95b8a36";"3WGpXCj9YhhfX11TToZcXP";"2297417";"396295677"
"221";;;"4mxWe1mtYIYfP040G38yvS";;
"222";"ARECGUA13B4C995FC8";"dacc2d64-7e59-42a8-87a9-10c53919aff2";"0MlOPi3zIDMVrfA9R04Fe3";"1527128";"557564979"
"223";;;"0MlOPi3zIDMVrfA9R04Fe3";;
"224";"ARYZDXU1359C24D252";"4da89b5e-7de6-4a8a-be98-9457eddc8e4c";"7Kp7SzuRuNiPFCy7JIwnLx";"1253731";"492724748"
"225";;"d40c09b3-e82b-45a9-8e50-63524858aa95";"7Kp7SzuRuNiPFCy7JIwnLx";"15739";"3297504"
"226";;;"77SW9BnxLY8rJ0RciFqkHh";;
"227";"ARK4ZEK1187B990A4F";"0d4ae9d7-9b4f-461c-8d3b-ab77a5808510";"5vngPClqofybhPERIqQMYd";"10241";"96353"
"228";"ARWVBHT1264D12E010";"5dca4d22-d6c8-4e70-8ca1-4543e43353c7";"75FnCoo4FBxH5K1Rrx0k5A";"503310";"345752964"
"229";;;"75FnCoo4FBxH5K1Rrx0k5A";;
"230";;;"6LqNN22kT3074XbTVUrhzX";;
"231";"AROLNUS123526A0E6C";"ad590765-191c-4c07-9d64-49633488e9a8";"30e8DmahrEamvLbFRPdWmk";"298712";"272639185"
"232";;;"7n2wHs1TKAczGzO7Dd2rGr";;
"233";"AR5JWON1187FB4450E";"7e5cfc9a-e9e1-46f1-b81a-861b12049488";"7tkwiWhGKSuQV8LwPWceWN";;"305121513"
"234";;;"7tkwiWhGKSuQV8LwPWceWN";;
"235";"AR7C6G11187B9B4C1E";"d24fb461-dee8-41fc-bb15-2f13bb2644a6";"2DlGxzQSjYe5N6G9nkYghR";"21255";"463009"
"236";;;"2DlGxzQSjYe5N6G9nkYghR";;
"237";"AROETUE1187FB4A677";"b202beb7-99bd-47e7-8b72-195c8d72ebdd";"0ZrpamOxcZybMHGg1AYtHP";"54041";"290491"
"238";;;"0ZrpamOxcZybMHGg1AYtHP";;
"239";"AREEQPY1187FB5B9E3";"6bd7faa9-601f-44db-a2a6-239209f83156";"66lH4jAE7pqPlOlzUKbwA0";"63760";"18732261"
"240";;;"66lH4jAE7pqPlOlzUKbwA0";;
"241";;;"5ZS223C6JyBfXasXxrRqOk";;
"242";"ARFDKIH129F1DDFB09";"2f548675-008d-4332-876c-108b0c7ab9c5";"7H55rcKCfwqkyDFH9wpKM6";"772356";"378346343"
"243";"ARICLSK131AAE25F5E";"faf4cefb-036c-4c88-b93a-5b03dd0a0e6b";"00FQb4jTyendYWaN8pK0wa";"1107056";"464296584"
"244";;;"53XhwfbYqKCa1cC15pYq2q";;
"245";"ARTHVUJ126A031DEF6";"8a4bd6ab-acd4-4f1b-b1c6-bee1cee43fff";"0RpddSzUHfncUWNJXKOsjy";"526122";"350172836"
"246";"ARQ32IT1187FB589D3";"fbb375f9-48bb-4635-824e-4120273b3ba7";"2Sqr0DXoaYABbjBo9HaMkM";"154985";"64398046"
